min,value,periodTime,periodCount
1.0,4,45,2
2.0,9,45,2
3.0,23,45,2
4.0,46,45,2
5.0,34,45,2
6.0,55,45,2
7.0,44,45,2
8.0,54,45,2
9.0,35,45,2
10.0,66,45,2
11.0,37,45,2
12.0,41,45,2
13.0,39,45,2
14.0,37,45,2
15.0,27,45,2
16.0,73,45,2
17.0,30,45,2
18.0,19,45,2
19.0,44,45,2
20.0,33,45,2
21.0,53,45,2
22.0,57,45,2
23.0,40,45,2
24.0,33,45,2
25.0,39,45,2
26.0,25,45,2
27.0,17,45,2
28.0,100,45,2
29.0,68,45,2
30.0,100,45,2
31.0,92,45,2
32.0,79,45,2
33.0,47,45,2
34.0,60,45,2
35.0,35,45,2
36.0,39,45,2
37.0,65,45,2
38.0,46,45,2
39.0,95,45,2
40.0,71,45,2
41.0,49,45,2
42.0,88,45,2
43.0,59,45,2
44.0,55,45,2
45.0,68,45,2
45.5,-18,45,2
46.0,7,45,2
47.0,62,45,2
48.0,44,45,2
49.0,33,45,2
50.0,27,45,2
51.0,22,45,2
52.0,16,45,2
53.0,62,45,2
54.0,46,45,2
55.0,37,45,2
56.0,15,45,2
57.0,9,45,2
58.0,73,45,2
59.0,53,45,2
60.0,41,45,2
61.0,91,45,2
62.0,20,45,2
63.0,14,45,2
64.0,15,45,2
65.0,76,45,2
66.0,100,45,2
67.0,83,45,2
68.0,46,45,2
69.0,34,45,2
70.0,23,45,2
71.0,93,45,2
72.0,62,45,2
73.0,86,45,2
74.0,50,45,2
75.0,57,45,2
76.0,46,45,2
77.0,30,45,2
78.0,18,45,2
79.0,14,45,2
80.0,10,45,2
81.0,60,45,2
82.0,26,45,2
83.0,30,45,2
84.0,28,45,2
85.0,46,45,2
86.0,23,45,2
87.0,67,45,2
88.0,39,45,2
89.0,22,45,2
90.0,-32,45,2
90.5,0,45,2
